authorId,name,slug
512,Peter F. Drucker,peter-f-drucker
13699,Bill Gates,bill-gates
8259062,Jeb BlountA,jeb-blounta
143362,Hoàng Trung Dũng,hoang-trung-dung
8259698,Neil Dagger,neil-dagger
8259955,Parmy Olson,parmy-olson
8260869,Vũ Tiến,vu-tien
196127,Craig Christensen,craig-christensen
196129,Sean Frontz,sean-frontz
196131,Dennis Susa,dennis-susa
523,Eliyahu M. Goldratt,eliyahu-m-goldratt
359839,Jeff Cox,jeff-cox
12355,Alan Phan,alan-phan
12859,Phil Town,phil-town
286381,Howard Marks,howard-marks
608313,Adam Morgan,adam-morgan
241857,Keith Rosen,keith-rosen
629731,Michael Goodwin,michael-goodwin
14170,Michael Sandel,michael-sandel
13588,Eric Ries,eric-ries
74270,Donald J.Trump & Tony Schwartz,donald-j-trump-tony-schwartz
7142,Napoleon Hill,napoleon-hill
847533,Markus Rach,markus-rach
860819,Ducan Bannatyne,ducan-bannatyne
865749,GEORGE SAMUEL CLASON,george-samuel-clason
511,Benjamin Graham,benjamin-graham
504211,George S.Clason,george-s-clason
12818,Og Mandino,og-mandino
5038,David Parmenter,david-parmenter
536293,Damon Zahariades,damon-zahariades
8226981,Vinalink,vinalink
4427279,Vicky Robin,vicky-robin
4427281,Joe Dominguez,joe-dominguez
286333,Blake Masters,blake-masters
286335,Peter Thiel,peter-thiel
512785,Cole Nussbaumer Knaflic,cole-nussbaumer-knaflic
144159,Chris Bailey,chris-bailey
860929,Eric Ries,eric-ries
3633,John Rothchild,
3634,Peter Lynch,
273169,Stanley H.Brown,stanley-h-brown
5314,John Gray,john-gray
172595,Ken Mogi,ken-mogi
458811,Thich Nhất Hạnh,thich-nhat-hanh
19205,Cal Newport,cal-newport
282031,Louise L.Hay,louise-l-hay
323739,Lão Tử,lao-tu
4984607,Diệp Hồng Vũ,diep-hong-vu
63896,Joseph Murphyc,joseph-murphyc
5245,T.Harv Eker,
150784,Patrick King,patrick-king
32762,Rosie Nguyễn,rosie-nguyen
5199519,Tiến Sỹ Marilee Adams,tien-sy-marilee-adams
13531,Viktor Emil Frankl,viktor-emil-frankl
147460,Chin-Ning Chu,chin-ning-chu
143619,Mark Manson,mark-manson
12958,Mihaly Csikszentmihalyi,mihaly-csikszentmihalyi
3971689,Annie Duke,annie-duke
79870,Angela Duckworth,angela-duckworth
1770,Eckhart Tolle,eckhart-tolle
148620,Xiu-ying Wei,xiu-ying-wei
52424,Chris Voss,chris-voss
519547,James Clear,james-clear
5283931,Mauro F. Guillén,mauro-f-guillen
4973519,Choi Kwanghyun,choi-kwanghyun
14450,Deepak Malhotra,deepak-malhotra
41328,Don Gabor,don-gabor
7309805,Nguyễn Đoàn Minh Thư,nguyen-doan-minh-thu
215805,Yamamoto Hideyuki,yamamoto-hideyuki
7380767,Lê Bảo Ngọc,le-bao-ngoc
113661,Richard Guare,richard-guare
113662,Peg Dawson,peg-dawson
4371,Don Miguel Ruiz,Don-Miguel-Ruiz
291483,Janet Mills,janet-mills
27261,Trác Nhã,trac-nha
7505895,Jay Papasan Gary Keller,jay-papasan-gary-keller
7400799,Brianna Wiest,brianna-wiest
111126,50 Cent & Robert Greene,50-cent-robert-greene
164739,Vãn Tình,van-tinh
10856,Nguyễn Hoàng Anh,nguyen-hoang-anh
7985989,Bruce D. Perry,bruce-d-perry
52301,Oprah Winfrey,oprah-winfrey
12005,Eran Katz,eran-katz
8121041,Patricia Evans,patricia-evans
213165,Lý Thượng Long,ly-thuong-long
169417,Vaclav Smil,vaclav-smil
8140131,Neil Postman,neil-postman
21248,Liễu Phàm,lieu-pham
200397,Eric Barker,eric-barker
8194653,Anna Lembke,anna-lembke
483561, Nguyễn Anh Dũng,nguyen-anh-dung
742,Sean Covey,sean-covey
221621,Chris McChesney,chris-mcchesney
221625,Jim Huling,jim-huling
8200533,David R. Hawkins,david-r-hawkins
304365,Kai-Fu Lee,kai-fu-lee
8204937,Chen Qiufan,chen-qiufan
8205693,Trần Phách Hàm,tran-phach-ham
159415,Koga Fumitake,koga-fumitake
8210451,Roxie Nafousi,roxie-nafousi
285325,Jonah Sachs,jonah-sachs
186157,Thục Linh,thuc-linh
169053,Johann Hari,johann-hari
8217887,Takafumi Kakiuchi,takafumi-kakiuchi
8221362,Kristin Neff,kristin-neff
8221363,Christopher Germer,christopher-germer
4852,Roland Barthes,roland-barthes
923585,Oliver Burkeman,oliver-burkeman
5582275,Shannon Thomas,shannon-thomas
5582277,LCSW,lcsw
8226454,Tạ Tôn Bác,ta-ton-bac
18902,Thanh Hương,thanh-huong
48990,M. Scott Peck,m-scott-peck
172201,Robin Hanson,robin-hanson
278781,Kevin Simler,kevin-simler
